Voter Address,Voting Power,Choice Ranking
0xca7a6a53d5576102765a0281c723f863d881dc96,21.05,"ZK Email - ext,Namestone,WebHash,Agora - ext,Ethereum Identity Fnd - basic,Curia Lab,eth.limo - basic,NameHash Labs,AlphaGrowth - basic,ZK Email - basic,Agora - basic,Lighthouse Labs,Wildcard Labs - ext,blockful - basic,Unruggable - basic,Enscribe,Unruggable - ext,blockful - ext,dWeb.host - basic,Web3bio,AlphaGrowth - ext,NONE BELOW,JustaName,eth.limo - ext,Ethereum Identity Fnd - ext,Tally,x23.ai,PYOR,dWeb.host - ext,Namespace,Wildcard Labs - basic,GovPal,3DNS - basic,Unicorn.eth,Decent,3DNS - ext"
0x019ed608dd806b80193942f2a960e7ac8abb2ee3,15,"eth.limo - basic,Tally,dWeb.host - ext,Ethereum Identity Fnd - ext,Web3bio,Unicorn.eth,JustaName,Enscribe,Wildcard Labs - ext,Wildcard Labs - basic,AlphaGrowth - basic,PYOR,Curia Lab,dWeb.host - basic,Namestone,Ethereum Identity Fnd - basic,Namespace,Lighthouse Labs,ZK Email - basic,Unruggable - ext,x23.ai,Decent,NONE BELOW,NameHash Labs,blockful - ext,Agora - basic,Agora - ext,Unruggable - basic,GovPal,blockful - basic,ZK Email - ext,3DNS - basic,AlphaGrowth - ext,WebHash,eth.limo - ext,3DNS - ext"
0xe0e216283eef00895b6abaa73848448596b85724,10,"Curia Lab,Wildcard Labs - ext,AlphaGrowth - basic,Wildcard Labs - basic,AlphaGrowth - ext,GovPal,PYOR,dWeb.host - ext,ZK Email - ext,eth.limo - basic,dWeb.host - basic,3DNS - ext,Tally,blockful - basic,WebHash,Namestone,Ethereum Identity Fnd - ext,Ethereum Identity Fnd - basic,NameHash Labs,Unruggable - basic,Enscribe,Agora - ext,Decent,Namespace,Unruggable - ext,eth.limo - ext,Unicorn.eth,ZK Email - basic,Agora - basic,Lighthouse Labs,3DNS - basic,Web3bio,x23.ai,NONE BELOW,blockful - ext,JustaName"
0xe7ab68392b3ae1733313ccc379e244de4aebad49,2.86750323875689,"Namestone,eth.limo - ext,Lighthouse Labs,GovPal,Web3bio,AlphaGrowth - ext,Unruggable - ext,blockful - basic,NONE BELOW,PYOR,Curia Lab,3DNS - basic,Ethereum Identity Fnd - ext,ZK Email - basic,Namespace,dWeb.host - basic,Unruggable - basic,x23.ai,JustaName,dWeb.host - ext,Agora - basic,Agora - ext,Wildcard Labs - basic,Enscribe,Ethereum Identity Fnd - basic,eth.limo - basic,Unicorn.eth,3DNS - ext,NameHash Labs,Tally,ZK Email - ext,WebHash,AlphaGrowth - basic,blockful - ext,Decent,Wildcard Labs - ext"
0xfe3fd57379b65ba4b0fe1e481e07e969153acae1,2.278866305740194,"Unruggable - ext,Tally,dWeb.host - basic,Web3bio,3DNS - ext,Namespace,Lighthouse Labs,Ethereum Identity Fnd - basic,Wildcard Labs - basic,Decent,eth.limo - ext,Enscribe,JustaName,WebHash,AlphaGrowth - basic,3DNS - basic,ZK Email - basic,NONE BELOW,Namestone,PYOR,Ethereum Identity Fnd - ext,blockful - basic,Agora - basic,ZK Email - ext,blockful - ext,x23.ai,dWeb.host - ext,Unicorn.eth,Wildcard Labs - ext,Agora - ext,GovPal,Curia Lab,AlphaGrowth - ext,NameHash Labs,eth.limo - basic,Unruggable - basic"
0x9d5765595a92c560c8759d2a9c375c66123765a5,2.1,"Ethereum Identity Fnd - basic,Wildcard Labs - basic,Unicorn.eth,NameHash Labs,Agora - ext,Lighthouse Labs,blockful - basic,AlphaGrowth - basic,Decent,Agora - basic,3DNS - basic,dWeb.host - ext,Unruggable - basic,Web3bio,GovPal,Enscribe,3DNS - ext,Namestone,x23.ai,eth.limo - basic,ZK Email - ext,JustaName,PYOR,Unruggable - ext,AlphaGrowth - ext,Curia Lab,WebHash,Wildcard Labs - ext,Namespace,blockful - ext,dWeb.host - basic,Ethereum Identity Fnd - ext,ZK Email - basic,Tally,eth.limo - ext,NONE BELOW"
0x8f3f560beb2b53a24a0383badc122dda1563ee8c,2.0000000000000226,"Namestone,NONE BELOW,Agora - basic,Agora - ext,Wildcard Labs - basic,Wildcard Labs - ext,Lighthouse Labs,Enscribe,blockful - basic,blockful - ext,3DNS - basic,3DNS - ext,Web3bio,eth.limo - basic,eth.limo - ext,ZK Email - basic,ZK Email - ext,Tally,GovPal,PYOR,NameHash Labs,Unruggable - basic,Unruggable - ext,Namespace,JustaName,Ethereum Identity Fnd - basic,Ethereum Identity Fnd - ext,x23.ai,Unicorn.eth,AlphaGrowth - basic,AlphaGrowth - ext,Decent,Curia Lab,WebHash,dWeb.host - basic,dWeb.host - ext"
0xa30e48c7826eed00223224dfde038347b983f0f1,1.5243123662012072,"Unicorn.eth,Agora - basic,Namestone,Decent,GovPal,Tally,AlphaGrowth - ext,3DNS - basic,dWeb.host - basic,ZK Email - ext,blockful - basic,x23.ai,NONE BELOW,JustaName,PYOR,WebHash,Enscribe,Unruggable - ext,3DNS - ext,blockful - ext,ZK Email - basic,Unruggable - basic,Wildcard Labs - basic,Namespace,Wildcard Labs - ext,Web3bio,dWeb.host - ext,eth.limo - basic,Ethereum Identity Fnd - basic,NameHash Labs,Ethereum Identity Fnd - ext,Curia Lab,Agora - ext,Lighthouse Labs,eth.limo - ext,AlphaGrowth - basic"
0x768e4afbb8e8a8252aca1d35b6b2537e3df3caa4,1.3696093573960273,"Ethereum Identity Fnd - ext,eth.limo - basic,NONE BELOW,blockful - ext,JustaName,Unicorn.eth,Enscribe,Unruggable - basic,Wildcard Labs - basic,Curia Lab,Tally,Wildcard Labs - ext,Ethereum Identity Fnd - basic,Agora - ext,blockful - basic,AlphaGrowth - ext,ZK Email - ext,3DNS - basic,Namestone,PYOR,3DNS - ext,WebHash,Lighthouse Labs,GovPal,Namespace,Unruggable - ext,ZK Email - basic,NameHash Labs,dWeb.host - basic,x23.ai,dWeb.host - ext,Decent,eth.limo - ext,Web3bio,AlphaGrowth - basic,Agora - basic"
0x4d9ba778b7f121e58e5d3bb6aef514e035a7c7f5,1.3695519310567361,"Tally,eth.limo - basic,AlphaGrowth - ext,PYOR,JustaName,x23.ai,Lighthouse Labs,NameHash Labs,Decent,Agora - basic,3DNS - ext,Unicorn.eth,blockful - ext,Wildcard Labs - ext,AlphaGrowth - basic,NONE BELOW,Agora - ext,Enscribe,Wildcard Labs - basic,3DNS - basic,blockful - basic,Namestone,Curia Lab,WebHash,Web3bio,dWeb.host - ext,Namespace,dWeb.host - basic,eth.limo - ext,Ethereum Identity Fnd - basic,GovPal,ZK Email - basic,Ethereum Identity Fnd - ext,Unruggable - basic,Unruggable - ext,ZK Email - ext"
